Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13.56]	 (rumeur de rue) 
[00:07:38.69]	  faisons tout pour ne pas gâ cher cet avenir.

[00:07:40.13]	

[00:07:41.03]	 (musique de cornemuse, applaudissements)

[00:07:42.56]	  

[00:07:44.13]	

[00:07:46.56]	  

[00:07:58.66]	 - Présentez armes!

[00:08:01.76]	

[00:08:02.26]	 (musique douce)

[00:08:03.86]	  

[00:08:05.36]	

[00:08:07.46]	  

[00:08:18.16]	 - Votre excellence.

[00:08:21.83]	  - Plus pour trè s longtemps.

[00:08:24.23]	  Bienvenue. Vous connaissez lord Ismay, chef d'EÉ tat-major.

[00:08:26.09]	  - Pug! Content de vous revoir! - Ravi d'ê tre des vô tres.

[00:08:28.06]	  - Bienvenue dans la chaleur infernale, ma chè re.

[00:08:29.39]	  - Lady Wavell. - Dickie.

[00:08:31.39]	  - Je dois vous avouer,

[00:08:34.69]	  la façon dont le gouvernement vous évince est mesquine.

[00:08:36.13]	  - J'ai toujours été dévoué à  Churchill.

[00:08:38.43]	  Et voilà  qu'Atlee arrive au pouvoir

[00:08:40.36]	  avec ces travaillistes. - Lord Louis!

[00:08:41.86]	  Quels sont vos objectifs?

[00:08:43.66]	  - On m'a confié une mission précise.

[00:08:45.76]	  Je suis venu pour ê tre le dernier vice-roi des Indes.

[00:08:48.39]	  Et je compte exercer ce rô le avec la plus grande fierté.

[00:08:49.86]	

[00:08:52.53]	  

[00:08:56.09]	 Oh...

[00:08:59.79]	  Tout cela est impressionnant.

[00:09:00.83]	  Magnifique!

[00:09:02.89]	  - Voici le personnel d'intérieur.

[00:09:03.59]	  

[00:09:05.79]	  - Juste Ciel!

[00:09:07.86]	  - Plus de 500 employés à  votre service.

[00:09:09.53]	  - Au nom de vous tous,

[00:09:12.96]	  je souhaite la bienvenue au nouveau vice-roi

[00:09:14.46]	  et à  sa famille.

[00:09:16.86]	

[00:09:18.16]	 Je suis sû r que vous leur fournirez

[00:09:18.86]	  

[00:09:21.73]	  un excellent service,

[00:09:25.43]	  comme vous avez toujours fait pour nous.

[00:09:27.03]	

[00:09:29.39]	  

[00:09:32.99]	 - Alors?

[00:09:36.36]	  C'est qui?

[00:09:39.29]	  - Mon pè re a été emprisonné

[00:09:40.23]	  

[00:09:42.19]	  pour avoir manifesté avec Gandhiji.

[00:09:44.09]	  Ma mè re et moi n'avions pas le droit de le visiter.

[00:09:46.26]	  Mais il y avait ce jeune gardien de prison hindou

[00:09:47.73]	  

[00:09:49.46]	  qui nous a beaucoup aidés.

[00:09:51.43]	  Il apportait nos lettres,

[00:09:53.89]	  de la nourriture et des médicaments à  mon pè re.

[00:09:56.46]	  - Mais la tê te que tu as faite en voyant ce jeune homme!

[00:09:58.59]	  - J'étais surprise de le voir au palais.

[00:10:00.09]	  

[00:10:01.93]	  S'il te plaî t, ne dis pas de sottises!

[00:10:03.69]	  - Je comprends mieux maintenant, Aalia.

[00:10:05.89]	  - Sunita, entre lui et moi, il n'y a rien.

[00:10:07.49]	  - C'est peut-ê tre ton avis, mais pas le sien.

[00:10:10.46]	  - Je ne vous envie pas, Dickie. J'ai fait ce que j'ai pu,

[00:10:12.73]	  mais c'est une opération maison de fous, à  mon avis.

[00:10:15.36]	  Il y a déjà  eu des milliers de morts,

[00:10:17.83]	  300 millions d'hindous et de sikhs

[00:10:19.56]	  veulent une Inde unie,

[00:10:22.26]	  mais beaucoup des 100 millions de musulmans sont contre.

[00:10:23.59]	  La minorité musulmane ne veut pas

[00:10:26.23]	  faire partie de l'Inde.

[00:10:29.09]	  Ils veulent leur propre pays. Le Pakistan.

[00:10:31.19]	  - Il y a une telle rancoeur entre les dirigeants aujourd'hui

[00:10:33.46]	  qu'il est presque impossible

[00:10:36.23]	  d'organiser un débat avec ces trois hommes.

[00:10:37.89]	  - Oui. Eh bien, quelles que soient leurs différences,

[00:10:39.66]	  il est certain que tous les Indiens ont un point commun.

[00:10:41.09]	  - Ah, oui? Lequel? - Ils ont hâ te

[00:10:43.19]	  qu'on fiche le camp. (rires)

[00:10:44.69]	  - M. Nehru est là .

[00:10:46.53]	  - M. Nehru et d'autres dirigeants ont eu

[00:10:46.79]	  

[00:10:49.26]	  la gentillesse de m'accueillir à  l'aéroport.

[00:10:51.03]	  Je les ai invités à  dî ner, c'est la moindre des choses.

[00:10:52.49]	  Vous n'y voyez pas d'inconvénients?

[00:10:54.76]	  - Votre excellence! - Bonjour.

[00:10:56.59]	  - Lord Ismay. - Monsieur Nehru, bonjour.

[00:10:58.89]	  - Mon cher, cher Dickie!

[00:11:01.63]	  - Gandhiji. Merci d'ê tre venu.

[00:11:04.43]	  - C'est toujours un plaisir d'ê tre chez le vice-roi

[00:11:05.63]	  et non dans ses geô les.

[00:11:08.59]	  - On ne vous aurait pas envoyé en prison

[00:11:10.19]	  si vous nous aviez soutenus

[00:11:12.66]	  pendant que nous combattions les nazis.

[00:11:14.03]	  - Nous vous avions promis de vous aider

[00:11:15.49]	  en échange de l'indépendance.

[00:11:17.46]	  Comment combattre Hitler,

[00:11:19.43]	  alors que notre pays était déjà  sous occupation étrangè re?

[00:11:20.93]	  - 2,5 millions de vos concitoyens

[00:11:24.13]	  ont trouvé le moyen de nous aider.

[00:11:26.03]	  Ces Indiens étaient volontaires. - Certes!

[00:11:28.33]	  Vous n'auriez jamais gagné sans leur sacrifice.

[00:11:31.29]	  Vous avez une énorme dette envers l'Inde.

[00:11:34.19]	  - Et Gandhiji en a une envers Cambridge,

[00:11:37.19]	  qui a fait de lui un brillant orateur.

[00:11:38.53]	

[00:11:39.46]	 - Il y a 34 salons, 34 salles de réception,

[00:11:40.76]	  

[00:11:43.36]	  10 salles à  manger privées, un cinéma.

[00:11:46.89]	  Buckingham Palace est une hutte comparée à  ça.

[00:11:49.36]	

[00:11:50.83]	 - Avec cette chaleur, je vais mourir déshydratée.

[00:11:51.36]	  

[00:11:53.93]	

[00:11:56.09]	 - Madame, voici le repas pour le chien.

[00:11:56.46]	  

[00:11:59.93]	  - Veuillez le porter sur la terrasse.

[00:12:02.39]	  Le voyage a été si long.

[00:12:04.56]	  Toi aussi, tu as chaud, hein, mon toutou?

[00:12:06.36]	  Posez ça là , s'il vous plaî t.

[00:12:09.03]	  Qu'est-ce qu'on t'a apporté de bon?

[00:12:10.26]	  

[00:12:11.09]	

[00:12:11.96]	 Je n'avais plus vu un tel poulet

[00:12:13.09]	  

[00:12:15.56]	  depuis le rationnement.

[00:12:18.89]	  - Madame, si le poulet ne convient pas,

[00:12:20.59]	  nous en sommes désolés, nous le rapporterons à  la cuisine.

[00:12:22.13]	  - Non. Non, s'il vous plaî t, laissez.

[00:12:23.86]	  - Que diriez-vous si...

[00:12:25.93]	  - Pourquoi pas?

[00:12:27.56]	  

[00:12:28.56]	

[00:12:30.56]	  

[00:12:32.03]	 Hum!

[00:12:35.63]	  (gémissements du chien)

[00:12:36.36]	

[00:12:37.69]	 - L'Ordre de la Jarretiè re se porte seul.

[00:12:39.23]	  

[00:12:41.59]	  Ou avec l'Ordre de l'EÉ toile d'Inde.

[00:12:43.49]	  Tout dépend de l'occasion.

[00:12:45.43]	  Si je veux épater la galerie,

[00:12:46.79]	  dans ce cas, je porte les quatre.

[00:12:48.13]	  Passons à  l'habillage.

[00:12:50.26]	  Il faut que nous en fassions un art.

[00:12:52.26]	  Il n'est pas question que je passe

[00:12:53.79]	  plus de deux minutes à  m'habiller.

[00:12:54.83]	  - Oui, excellence.

[00:12:56.46]	  - Oh! Pas excellence avant la cérémonie.

[00:12:57.59]	  Monsieur suffira. Bien!

[00:13:00.19]	  Les chaussettes, sans fixe-chaussettes.

[00:13:01.76]	  Bretelles, toujours sur le pantalon.

[00:13:03.16]	  Avez-vous déjà  vu ceci?

[00:13:05.49]	  (en choeur): Non, monsieur.

[00:13:07.93]	  - Combien de temps perd-on chaque jour

[00:13:09.53]	  à  boutonner un pantalon?

[00:13:11.49]	  On enfile celui-ci et...

[00:13:13.29]	  Toute la marine les utilise maintenant.

[00:13:13.93]	  

[00:13:16.43]	  Ce matin, je suggè re que nous fassions le grand jeu.

[00:13:17.66]	  Et...

[00:13:20.79]	  Duleep Singh, c'est ça?

[00:13:21.59]	  

[00:13:22.86]	  - Oui, monsieur.

[00:13:25.23]	  - Lord Wavell m'a dit de bonnes choses sur vous.

[00:13:26.69]	  - Merci, monsieur. Honoré de vous servir.

[00:13:27.69]	  - Hum. Et?

[00:13:30.03]	  - Jeet Kumar, monsieur, du Pendjab.

[00:13:31.19]	  - C'est le nouveau valet.

[00:13:34.16]	  - Ah! Eh bien, Kumar,

[00:13:36.06]	  nous avons un point commun, tous les deux.

[00:13:36.89]	  Bien!

[00:13:38.96]	  EÊ tes-vous prê ts?

[00:13:39.93]	  

[00:13:41.56]	

[00:13:41.99]	 (musique rythmée)

[00:13:43.56]	  

[00:13:45.09]	

[00:13:47.23]	  

[00:14:11.66]	 13 minutes.

[00:14:14.96]	  Hum...

[00:14:17.49]	  Nous ferons mieux la prochaine fois.

[00:14:18.39]	  (musique douce)

[00:14:20.03]	

[00:14:21.09]	   Moi, Louis Francis   Albert Victor Nicolas,

[00:14:22.09]	  

[00:14:24.79]	  vicomte Mountbatten de Birmanie,

[00:14:28.36]	    je jure allégeance

[00:14:31.19]	    à  notre souverain,    le roi George VI,

[00:14:33.06]	    défenseur de la foi

[00:14:35.59]	    et empereur des Indes.

[00:14:38.89]	    Et je m'acquitterai loyalement

[00:14:40.26]	  

[00:14:42.43]	    de ma fonction   de vice-roi des Indes

[00:14:43.46]	    selon la loi.

[00:14:45.96]	    Que Dieu me guide.

[00:14:47.36]	  (musique protocolaire)

[00:14:48.46]	

[00:14:50.46]	  

[00:14:56.09]	 - Eh! T'as jamais vu d'Européen en tenue d'apparat?

[00:15:00.39]	  T'es peut-ê tre nouveau, mais faut que tu restes à  ta place.

[00:15:02.26]	  - Allez, Mohsin, c'est bon!

[00:15:04.89]	  Fiche-lui la paix! C'est mon ami.

[00:15:05.99]	  - Vous, les Pendjabis,

[00:15:08.63]	  vous vous entraidez toujours, hein?

[00:15:09.76]	  - Vous, les Bengalis, vous--

[00:15:11.63]	  - Vous allez vous taire, oui? Calmez-vous maintenant!

[00:15:12.29]	

[00:15:14.73]	 -  La vice-royauté   que je vais exercer

[00:15:18.49]	    ne sera pas comme les autres.

[00:15:20.79]	    Je ne me fais aucune illusion

[00:15:23.23]	    quant à  la difficulté   de ma tâ che.

[00:15:25.29]	    J'aurais besoin   de la meilleure volonté

[00:15:27.33]	    du plus grand nombre possible.

[00:15:30.43]	    Et je vous demande aujourd'hui   d'avoir cette bonne volonté.

[00:15:31.13]	  

[00:15:32.63]	

[00:15:34.66]	 - Pourquoi tu n'écoutes pas ce qu'il a à  dire?

[00:15:36.13]	  

[00:15:38.73]	  - Parce que j'ai déjà  entendu ça plusieurs fois.

[00:15:39.76]	  

[00:15:40.76]	

[00:15:43.86]	 - Ubba, peut-ê tre que les Mountbatten seront différents.

[00:15:46.06]	

[00:15:47.19]	 - C'est le cousin du roi.

[00:15:49.06]	  

[00:15:50.93]	  L'empire coule dans ses veines.

[00:15:52.36]	  

[00:15:53.36]	

[00:15:55.46]	  

[00:15:58.99]	 - Le bureau de mon mari est la priorité absolue.

[00:16:02.63]	  Nous devons le réaménager.

[00:16:05.83]	  Il lui faut plus de lumiè re, des couleurs plus claires.

[00:16:07.83]	  Mon mari dit qu'il empeste les négociations malheureuses.

[00:16:09.39]	

[00:16:10.03]	 - C'est comme si c'était fait.

[00:16:14.13]	  - Je continuerai ma visite aprè s le petit-déjeuner,

[00:16:16.09]	  miss Reading, mais...

[00:16:19.13]	  j'aimerais en attendant

[00:16:21.86]	  que vous vous réunissiez avec tous les assistants

[00:16:23.96]	  pour revoir entiè rement les listes d'invités.

[00:16:26.43]	  Dorénavant, environ la moitié de tous les invités

[00:16:28.93]	  en toute occasion doivent ê tre indiens.

[00:16:32.26]	  - Bien, madame.

[00:16:35.23]	  - En outre, je veux rencontrer des femmes indiennes.

[00:16:36.29]	  Merci.

[00:16:39.29]	  (musique douce)

[00:16:40.06]	  

[00:16:42.53]	  Sarojini Naidu, la soeur de Pandit Nehru.

[00:16:43.66]	  Mme Aruna Ali Asif

[00:16:45.83]	  et Rajkumari Amrit Kaur.

[00:16:48.26]	  - Vous avez noté, mademoiselle Noor?

[00:16:50.26]	  - Oui, madame.

[00:16:52.43]	  - Voilà  les cavaliers.

[00:16:53.03]	  

[00:16:54.76]	  - Je crains, Pammy, que ce ne soit

[00:16:56.49]	  le seul moment de la journée ouù  l'on puisse se voir.

[00:16:57.83]	  J'ai un agenda trè s chargé.

[00:17:00.39]	  Deux oeufs pochés, tomate, saucisses et du thé.

[00:17:01.59]	  Je suis débordé.

[00:17:05.36]	  - Chéri, savez-vous que 92% de la population est illettrée?

[00:17:06.29]	  - Bonjour.

[00:17:09.66]	  - Et qu'un nourrisson sur cinq meurt

[00:17:10.83]	  avant d'atteindre quatre mois?

[00:17:12.56]	  - Edwina, je remercie le Ciel

[00:17:14.89]	  d'avoir une épouse aussi active et compétente,

[00:17:16.93]	  mais parfois, il faut accepter ce que l'on ne peut changer.

[00:17:19.13]	  - Mais l'on peut changer beaucoup de choses, Dickie.

[00:17:21.29]	  On peut, j'en suis certaine.

[00:17:24.03]	  Et il faut absolument que nous le fassions.

[00:17:25.79]	  Ici, les problè mes ne sont pas seulement politiques,

[00:17:27.29]	  ils sont sociaux et économiques.

[00:17:29.26]	  Prè s de la moitié des bébés meurt

[00:17:30.83]	  et ce, avant d'avoir cinq ans.

[00:17:33.66]	  Cela ne peut pas ê tre l'héritage que les Britanniques

[00:17:35.26]	  laissent à  l'Inde aprè s trois siè cles!

[00:17:37.26]	  Nous avons le temps d'améliorer les infrastructures

[00:17:37.69]	  

[00:17:39.76]	  et quand nous repartirons--

[00:17:42.03]	  - Ce n'est pas pour ça que nous sommes là .

[00:17:43.49]	  - Je sais. - Vous allez vous épuiser.

[00:17:45.39]	  - Je vous épuiserai, vous voulez dire.

[00:17:46.79]	  - Non.

[00:17:49.19]	  Edwina, j'ai les gouverneurs

[00:17:50.23]	  

[00:17:52.89]	  qui vont arriver d'un moment à  l'autre.

[00:17:54.59]	  - Je sais, je dois faire la conversation à  leurs femmes.

[00:17:55.86]	  - Et je vous suis reconnaissant

[00:17:57.19]	  

[00:17:58.96]	  de tout ce que vous faites pour nous.

[00:17:59.56]	

[00:18:01.29]	  

[00:18:06.29]	 - Miss Hudson, quelque chose vous perturbe, on dirait.

[00:18:09.96]	  - Non, pas du tout, madame.

[00:18:13.23]	  Mais je préférerais que ces valets gardent leurs distances.

[00:18:14.06]	

[00:18:15.19]	 - Peut-ê tre bien que vos talents exceptionnels

[00:18:16.36]	  

[00:18:19.09]	  seront mieux employés dans le Surrey.

[00:18:21.33]	  - Je vous demande pardon, madame?

[00:18:23.46]	  - Je vous demande de faire vos bagages

[00:18:25.36]	  et de rentrer chez vous.

[00:18:26.56]	

[00:18:27.56]	  

[00:18:39.43]	 - Vous avez les documents?

[00:18:43.36]	  J'en ai besoin pour la prochaine réunion.

[00:18:44.89]	  - Oui, madame.

[00:18:46.46]	

[00:18:47.46]	  

[00:18:49.03]	 - Mademoiselle Noor!

[00:18:52.66]	  J'ai un message pour vous.

[00:18:53.56]	  

[00:18:54.63]	  De votre famille.

[00:18:56.56]	  - C'est bon.

[00:18:58.09]	  

[00:18:59.09]	

[00:19:01.09]	 - Il fallait que je te voie.

[00:19:04.26]	  Comment va ton pè re?

[00:19:05.79]	  

[00:19:07.56]	  - Jeet, qu'est-ce que tu fais?

[00:19:09.13]	  Rien n'a changé.

[00:19:11.49]	  - Je vois que tu n'es toujours pas mariée.

[00:19:13.19]	  - Je suis toujours promise à  un autre.

[00:19:15.19]	

[00:19:17.36]	  

[00:19:19.63]	 - Depuis deux ans,

[00:19:23.56]	  j'ai absolument tout fait pour t'oublier.

[00:19:24.63]	  - Eh bien, essaye encore!

[00:19:26.73]	  

[00:19:27.73]	

[00:19:29.73]	  

[00:19:30.26]	 (musique triste)

[00:19:33.36]	

[00:19:35.36]	  

[00:19:46.46]	 (appel à  la priè re)

[00:19:49.56]	

[00:19:51.63]	  

[00:19:59.63]	 - La violence augmente de jour en jour.

[00:20:03.73]	  Cette haine entre hindous, sikhs et musulmans nuit

[00:20:04.96]	  

[00:20:06.06]	

[00:20:06.83]	 à  tout ce que nous avons construit.

[00:20:11.13]	  - Au Bengale, la violence s'est mê me aggravée d'une famine.

[00:20:12.69]	

[00:20:13.83]	 Le peuple nous reproche de ne rien faire

[00:20:15.93]	  

[00:20:17.66]	  pour remédier à  cette situation.

[00:20:19.93]	  - Plus vite nous laisserons les Indiens gouverner,

[00:20:21.03]	  mieux ce sera.

[00:20:24.89]	  - Oui. Mais avec quel gouvernement?

[00:20:26.53]	  Ces maudits dirigeants indiens refusent toute entente.

[00:20:28.53]	  Si les musulmans n'arrivent pas à  obtenir leur Pakistan,

[00:20:31.36]	  ma province sombrera dans la guerre civile à  coup sû r.

[00:20:34.39]	  - Pareil pour le Pendjab.

[00:20:38.09]	  Les hindous n'accepteront jamais un Pakistan

[00:20:39.16]	  qu'ils n'ont pas désiré.

[00:20:41.09]	  - Quel sac de noeuds!

[00:20:42.66]	  Messieurs, notre sauveur est là .

[00:20:43.73]	  Il est enfin parmi nous.

[00:20:45.56]	  

[00:20:47.93]	  - CÇ a reste entre nous, Pug, mais nous ne sommes pas sû rs

[00:20:49.86]	  que Dickie Mountbatten puisse nous tirer de ce bourbier.

[00:20:51.73]	  - Vous exagérez. Il possè de cette faculté

[00:20:53.49]	  de s'entendre avec tout le monde.

[00:20:55.36]	  - D'accord.

[00:20:58.29]	  Mais ces Indiens sont encore plus glissants

[00:20:59.29]	  que des anguilles.

[00:21:01.89]	  - Les Indiens doivent avoir la conviction,

[00:21:03.16]	  quel que soit l'avenir de l'Inde,

[00:21:05.86]	  que c'est leur idée.

[00:21:08.53]	  Et croyez-moi,

[00:21:11.13]	  si quelqu'un peut les mettre d'accord,

[00:21:12.76]	  c'est Dickie.

[00:21:15.46]	  Il pourrait mê me convaincre un vautour

[00:21:17.19]	  de lâ cher sa proie.

[00:21:20.03]	  - Plus rien ne peut empê cher la violence, Pug.

[00:21:21.73]	  Il est déjà  beaucoup trop tard.

[00:21:25.13]	  Et si Mountbatten croit y arriver par le charme,

[00:21:26.63]	  c'est un idiot.

[00:21:29.59]	  - Merci de votre franchise.

[00:21:30.89]	  - Votre excellence!

[00:21:33.43]	  - Je sais à  quel point la situation est grave.

[00:21:35.06]	  Je vais réunir les dirigeants et les maharadjahs

[00:21:36.79]	  qui appréhendent également ce qui arrivera

[00:21:38.73]	  aprè s la passation de pouvoir.

[00:21:40.79]	  Nous allons avoir beaucoup de travail.

[00:21:42.36]	  Et je souhaite vous entendre tous.

[00:21:44.06]	  (vrombissement de moteur)

[00:21:45.43]	  

[00:21:47.19]	  (musique patriotique)

[00:21:48.43]	  

[00:21:50.19]	

[00:21:51.33]	 -  Le conflit qui s'aggrave   chaque semaine

[00:21:52.19]	  

[00:21:55.36]	    entre les musulmans   et les hindous

