Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13:03]	 (rumeur de rue) 

[00:09:21:05]	  un excellent service,

[00:09:24:16]	  comme vous avez toujours fait pour nous.

[00:09:26:28]	

[00:09:29:11]	  

[00:09:32:24]	 - Alors?

[00:09:36:00]	  C'est qui?

[00:09:38:18]	  - Mon pè re a été emprisonné

[00:09:40:06]	  

[00:09:41:11]	  pour avoir manifesté avec Gandhiji.

[00:09:42:29]	  Ma mè re et moi n'avions pas le droit de le visiter.

[00:09:45:08]	  Mais il y avait ce jeune gardien de prison hindou

[00:09:47:21]	  

[00:09:48:25]	  qui nous a beaucoup aidés.

[00:09:50:25]	  Il apportait nos lettres,

[00:09:52:25]	  de la nourriture et des médicaments à  mon pè re.

[00:09:55:08]	  - Mais la tê te que tu as faite en voyant ce jeune homme!

[00:09:57:20]	  - J'étais surprise de le voir au palais.

[00:10:00:02]	  

[00:10:01:00]	  S'il te plaî t, ne dis pas de sottises!

[00:10:02:24]	  - Je comprends mieux maintenant, Aalia.

[00:10:04:28]	  - Sunita, entre lui et moi, il n'y a rien.

[00:10:06:14]	  - C'est peut-ê tre ton avis, mais pas le sien.

[00:10:09:08]	  - Je ne vous envie pas, Dickie. J'ai fait ce que j'ai pu,

[00:10:11:19]	  mais c'est une opération maison de fous, à  mon avis.

[00:10:14:14]	  Il y a déjà  eu des milliers de morts,

[00:10:17:00]	  300 millions d'hindous et de sikhs

[00:10:19:00]	  veulent une Inde unie,

[00:10:21:03]	  mais beaucoup des 100 millions de musulmans sont contre.

[00:10:22:23]	  La minorité musulmane ne veut pas

[00:10:25:19]	  faire partie de l'Inde.

[00:10:28:04]	  Ils veulent leur propre pays. Le Pakistan.

[00:10:29:29]	  - Il y a une telle rancoeur entre les dirigeants aujourd'hui

[00:10:32:24]	  qu'il est presque impossible

[00:10:35:08]	  d'organiser un débat avec ces trois hommes.

[00:10:36:23]	  - Oui. Eh bien, quelles que soient leurs différences,

[00:10:38:14]	  il est certain que tous les Indiens ont un point commun.

[00:10:40:08]	  - Ah, oui? Lequel? - Ils ont hâ te

[00:10:42:14]	  qu'on fiche le camp. (rires)

[00:10:44:05]	  - M. Nehru est là .

[00:10:45:19]	  - M. Nehru et d'autres dirigeants ont eu

[00:10:46:23]	  

[00:10:48:08]	  la gentillesse de m'accueillir à  l'aéroport.

[00:10:49:25]	  Je les ai invités à  dî ner, c'est la moindre des choses.

[00:10:51:21]	  Vous n'y voyez pas d'inconvénients?

[00:10:54:00]	  - Votre excellence! - Bonjour.

[00:10:55:20]	  - Lord Ismay. - Monsieur Nehru, bonjour.

[00:10:58:10]	  - Mon cher, cher Dickie!

[00:11:00:25]	  - Gandhiji. Merci d'ê tre venu.

[00:11:03:09]	  - C'est toujours un plaisir d'ê tre chez le vice-roi

[00:11:05:01]	  et non dans ses geô les.

[00:11:07:21]	  - On ne vous aurait pas envoyé en prison

[00:11:09:16]	  si vous nous aviez soutenus

[00:11:11:23]	  pendant que nous combattions les nazis.

[00:11:13:04]	  - Nous vous avions promis de vous aider

[00:11:14:24]	  en échange de l'indépendance.

[00:11:16:26]	  Comment combattre Hitler,

[00:11:18:04]	  alors que notre pays était déjà  sous occupation étrangè re?

[00:11:20:04]	  - 2,5 millions de vos concitoyens

[00:11:23:09]	  ont trouvé le moyen de nous aider.

[00:11:25:04]	  Ces Indiens étaient volontaires. - Certes!

[00:11:27:09]	  Vous n'auriez jamais gagné sans leur sacrifice.

[00:11:30:11]	  Vous avez une énorme dette envers l'Inde.

[00:11:33:09]	  - Et Gandhiji en a une envers Cambridge,

[00:11:36:10]	  qui a fait de lui un brillant orateur.

[00:11:38:13]	

[00:11:38:17]	 - Il y a 34 salons, 34 salles de réception,

[00:11:40:22]	  

[00:11:42:14]	  10 salles à  manger privées, un cinéma.

[00:11:45:26]	  Buckingham Palace est une hutte comparée à  ça.

[00:11:49:08]	

[00:11:49:25]	 - Avec cette chaleur, je vais mourir déshydratée.

[00:11:51:10]	  

[00:11:53:25]	

[00:11:55:10]	 - Madame, voici le repas pour le chien.

[00:11:56:13]	  

[00:11:59:03]	  - Veuillez le porter sur la terrasse.

[00:12:01:25]	  Le voyage a été si long.

[00:12:03:19]	  Toi aussi, tu as chaud, hein, mon toutou?

[00:12:05:19]	  Posez ça là , s'il vous plaî t.

[00:12:08:05]	  Qu'est-ce qu'on t'a apporté de bon?

[00:12:10:07]	  

[00:12:11:00]	

[00:12:11:08]	 Je n'avais plus vu un tel poulet

[00:12:13:02]	  

[00:12:14:29]	  depuis le rationnement.

[00:12:18:01]	  - Madame, si le poulet ne convient pas,

[00:12:19:11]	  nous en sommes désolés, nous le rapporterons à  la cuisine.

[00:12:21:08]	  - Non. Non, s'il vous plaî t, laissez.

[00:12:23:08]	  - Que diriez-vous si...

[00:12:25:14]	  - Pourquoi pas?

[00:12:27:16]	  

[00:12:28:14]	

[00:12:30:16]	  

[00:12:31:26]	 Hum!

[00:12:35:01]	  (gémissements du chien)

[00:12:36:08]	

[00:12:36:25]	 - L'Ordre de la Jarretiè re se porte seul.

[00:12:39:06]	  

[00:12:40:21]	  Ou avec l'Ordre de l'EÉ toile d'Inde.

[00:12:42:26]	  Tout dépend de l'occasion.

[00:12:44:21]	  Si je veux épater la galerie,

[00:12:46:00]	  dans ce cas, je porte les quatre.

[00:12:47:16]	  Passons à  l'habillage.

[00:12:49:13]	  Il faut que nous en fassions un art.

[00:12:51:13]	  Il n'est pas question que je passe

[00:12:52:29]	  plus de deux minutes à  m'habiller.

[00:12:54:10]	  - Oui, excellence.

[00:12:55:16]	  - Oh! Pas excellence avant la cérémonie.

[00:12:56:29]	  Monsieur suffira. Bien!

[00:12:59:10]	  Les chaussettes, sans fixe-chaussettes.

[00:13:00:28]	  Bretelles, toujours sur le pantalon.

[00:13:02:16]	  Avez-vous déjà  vu ceci?

[00:13:04:25]	  (en choeur): Non, monsieur.

[00:13:07:01]	  - Combien de temps perd-on chaque jour

[00:13:08:28]	  à  boutonner un pantalon?

[00:13:10:28]	  On enfile celui-ci et...

[00:13:12:11]	  Toute la marine les utilise maintenant.

[00:13:13:27]	  

[00:13:15:08]	  Ce matin, je suggè re que nous fassions le grand jeu.

[00:13:17:11]	  Et...

[00:13:20:06]	  Duleep Singh, c'est ça?

[00:13:21:17]	  

[00:13:22:13]	  - Oui, monsieur.

[00:13:24:05]	  - Lord Wavell m'a dit de bonnes choses sur vous.

[00:13:25:23]	  - Merci, monsieur. Honoré de vous servir.

[00:13:27:10]	  - Hum. Et?

[00:13:29:05]	  - Jeet Kumar, monsieur, du Pendjab.

[00:13:30:18]	  - C'est le nouveau valet.

[00:13:33:18]	  - Ah! Eh bien, Kumar,

[00:13:35:03]	  nous avons un point commun, tous les deux.

[00:13:36:18]	  Bien!

[00:13:38:13]	  EÊ tes-vous prê ts?

[00:13:39:27]	  

[00:13:41:14]	

[00:13:41:19]	 (musique rythmée)

[00:13:43:16]	  

[00:13:45:00]	

[00:13:47:06]	  

[00:14:11:11]	 13 minutes.

[00:14:14:20]	  Hum...

[00:14:16:20]	  Nous ferons mieux la prochaine fois.

[00:14:17:28]	  (musique douce)

[00:14:19:28]	

[00:14:20:02]	   Moi, Louis Francis   Albert Victor Nicolas,

[00:14:22:02]	  

[00:14:24:03]	  vicomte Mountbatten de Birmanie,

[00:14:27:23]	    je jure allégeance

[00:14:30:04]	    à  notre souverain,    le roi George VI,

[00:14:32:13]	    défenseur de la foi

[00:14:34:28]	    et empereur des Indes.

[00:14:38:03]	    Et je m'acquitterai loyalement

[00:14:40:07]	  

[00:14:41:11]	    de ma fonction   de vice-roi des Indes

[00:14:42:28]	    selon la loi.

[00:14:45:11]	    Que Dieu me guide.

[00:14:46:24]	  (musique protocolaire)

[00:14:48:11]	

[00:14:50:13]	  

[00:14:55:03]	 - Eh! T'as jamais vu d'Européen en tenue d'apparat?

[00:14:59:03]	  T'es peut-ê tre nouveau, mais faut que tu restes à  ta place.

[00:15:01:18]	  - Allez, Mohsin, c'est bon!

[00:15:04:03]	  Fiche-lui la paix! C'est mon ami.

[00:15:05:13]	  - Vous, les Pendjabis,

[00:15:07:23]	  vous vous entraidez toujours, hein?

[00:15:09:03]	  - Vous, les Bengalis, vous--

[00:15:10:14]	  - Vous allez vous taire, oui? Calmez-vous maintenant!

[00:15:12:06]	

[00:15:13:22]	 -  La vice-royauté   que je vais exercer

[00:15:17:21]	    ne sera pas comme les autres.

[00:15:20:00]	    Je ne me fais aucune illusion

[00:15:22:05]	    quant à  la difficulté   de ma tâ che.

[00:15:24:05]	    J'aurais besoin   de la meilleure volonté

[00:15:26:16]	    du plus grand nombre possible.

[00:15:29:00]	    Et je vous demande aujourd'hui   d'avoir cette bonne volonté.

[00:15:31:03]	  

[00:15:32:16]	

[00:15:33:21]	 - Pourquoi tu n'écoutes pas ce qu'il a à  dire?

[00:15:36:03]	  

[00:15:37:20]	  - Parce que j'ai déjà  entendu ça plusieurs fois.

[00:15:39:22]	  

[00:15:40:20]	

[00:15:42:22]	 - Ubba, peut-ê tre que les Mountbatten seront différents.

[00:15:45:29]	

[00:15:46:21]	 - C'est le cousin du roi.

[00:15:49:01]	  

[00:15:50:06]	  L'empire coule dans ses veines.

[00:15:52:10]	  

[00:15:53:08]	

[00:15:55:13]	  

[00:15:58:02]	 - Le bureau de mon mari est la priorité absolue.

[00:16:02:00]	  Nous devons le réaménager.

[00:16:04:19]	  Il lui faut plus de lumiè re, des couleurs plus claires.

[00:16:06:19]	  Mon mari dit qu'il empeste les négociations malheureuses.

[00:16:09:09]	

[00:16:09:13]	 - C'est comme si c'était fait.

[00:16:13:01]	  - Je continuerai ma visite aprè s le petit-déjeuner,

[00:16:15:16]	  miss Reading, mais...

[00:16:18:16]	  j'aimerais en attendant

[00:16:20:26]	  que vous vous réunissiez avec tous les assistants

[00:16:22:28]	  pour revoir entiè rement les listes d'invités.

[00:16:25:10]	  Dorénavant, environ la moitié de tous les invités

[00:16:28:01]	  en toute occasion doivent ê tre indiens.

[00:16:31:24]	  - Bien, madame.

[00:16:34:03]	  - En outre, je veux rencontrer des femmes indiennes.

[00:16:36:00]	  Merci.

[00:16:38:25]	  (musique douce)

[00:16:40:01]	  

[00:16:41:18]	  Sarojini Naidu, la soeur de Pandit Nehru.

[00:16:43:05]	  Mme Aruna Ali Asif

[00:16:45:08]	  et Rajkumari Amrit Kaur.

[00:16:47:13]	  - Vous avez noté, mademoiselle Noor?

[00:16:49:25]	  - Oui, madame.

[00:16:51:25]	  - Voilà  les cavaliers.

[00:16:53:00]	  

[00:16:53:28]	  - Je crains, Pammy, que ce ne soit

[00:16:55:10]	  le seul moment de la journée ouù  l'on puisse se voir.

[00:16:57:04]	  J'ai un agenda trè s chargé.

[00:16:59:11]	  Deux oeufs pochés, tomate, saucisses et du thé.

[00:17:01:05]	  Je suis débordé.

[00:17:04:03]	  - Chéri, savez-vous que 92% de la population est illettrée?

[00:17:05:28]	  - Bonjour.

[00:17:08:24]	  - Et qu'un nourrisson sur cinq meurt

[00:17:10:04]	  avant d'atteindre quatre mois?

[00:17:11:26]	  - Edwina, je remercie le Ciel

[00:17:13:26]	  d'avoir une épouse aussi active et compétente,

[00:17:15:21]	  mais parfois, il faut accepter ce que l'on ne peut changer.

[00:17:18:01]	  - Mais l'on peut changer beaucoup de choses, Dickie.

[00:17:20:19]	  On peut, j'en suis certaine.

[00:17:23:01]	  Et il faut absolument que nous le fassions.

[00:17:24:19]	  Ici, les problè mes ne sont pas seulement politiques,

[00:17:26:16]	  ils sont sociaux et économiques.

[00:17:28:14]	  Prè s de la moitié des bébés meurt

[00:17:30:04]	  et ce, avant d'avoir cinq ans.

[00:17:32:14]	  Cela ne peut pas ê tre l'héritage que les Britanniques

[00:17:34:09]	  laissent à  l'Inde aprè s trois siè cles!

[00:17:36:05]	  Nous avons le temps d'améliorer les infrastructures

[00:17:37:20]	  

[00:17:39:03]	  et quand nous repartirons--

[00:17:41:01]	  - Ce n'est pas pour ça que nous sommes là .

[00:17:42:19]	  - Je sais. - Vous allez vous épuiser.

[00:17:44:16]	  - Je vous épuiserai, vous voulez dire.

[00:17:46:15]	  - Non.

[00:17:48:16]	  Edwina, j'ai les gouverneurs

[00:17:50:06]	  

[00:17:52:00]	  qui vont arriver d'un moment à  l'autre.

[00:17:53:13]	  - Je sais, je dois faire la conversation à  leurs femmes.

[00:17:55:04]	  - Et je vous suis reconnaissant

[00:17:57:05]	  

[00:17:58:03]	  de tout ce que vous faites pour nous.

[00:17:59:14]	

[00:18:01:08]	  

[00:18:05:08]	 - Miss Hudson, quelque chose vous perturbe, on dirait.

[00:18:09:09]	  - Non, pas du tout, madame.

[00:18:11:29]	  Mais je préférerais que ces valets gardent leurs distances.

[00:18:13:29]	

[00:18:14:08]	 - Peut-ê tre bien que vos talents exceptionnels

[00:18:16:10]	  

[00:18:18:06]	  seront mieux employés dans le Surrey.

[00:18:20:16]	  - Je vous demande pardon, madame?

[00:18:22:18]	  - Je vous demande de faire vos bagages

[00:18:24:24]	  et de rentrer chez vous.

[00:18:26:14]	

[00:18:27:16]	  

[00:18:38:27]	 - Vous avez les documents?

[00:18:42:13]	  J'en ai besoin pour la prochaine réunion.

[00:18:44:14]	  - Oui, madame.

[00:18:46:11]	

[00:18:47:13]	  

[00:18:48:18]	 - Mademoiselle Noor!

[00:18:52:01]	  J'ai un message pour vous.

[00:18:53:16]	  

[00:18:54:05]	  De votre famille.

[00:18:56:05]	  - C'est bon.

[00:18:58:02]	  

[00:18:59:00]	

[00:19:00:15]	 - Il fallait que je te voie.

[00:19:03:21]	  Comment va ton pè re?

[00:19:05:23]	  

[00:19:06:26]	  - Jeet, qu'est-ce que tu fais?

[00:19:08:21]	  Rien n'a changé.

[00:19:10:16]	  - Je vois que tu n'es toujours pas mariée.

[00:19:12:09]	  - Je suis toujours promise à  un autre.

[00:19:15:03]	

[00:19:17:10]	  

[00:19:19:07]	 - Depuis deux ans,

[00:19:22:19]	  j'ai absolument tout fait pour t'oublier.

[00:19:24:01]	  - Eh bien, essaye encore!

[00:19:26:21]	  

[00:19:27:19]	

[00:19:29:21]	  

[00:19:29:28]	 (musique triste)

[00:19:33:08]	

[00:19:35:10]	  

[00:19:45:29]	 (appel à  la priè re)

[00:19:49:14]	

[00:19:51:18]	  

[00:19:58:26]	 - La violence augmente de jour en jour.

[00:20:02:19]	  Cette haine entre hindous, sikhs et musulmans nuit

[00:20:04:28]	  

[00:20:05:29]	

[00:20:06:03]	 à  tout ce que nous avons construit.

[00:20:09:25]	  - Au Bengale, la violence s'est mê me aggravée d'une famine.

[00:20:12:18]	

[00:20:13:01]	 Le peuple nous reproche de ne rien faire

[00:20:15:27]	  

[00:20:16:25]	  pour remédier à  cette situation.

[00:20:18:25]	  - Plus vite nous laisserons les Indiens gouverner,

[00:20:20:18]	  mieux ce sera.

[00:20:24:01]	  - Oui. Mais avec quel gouvernement?

[00:20:25:11]	  Ces maudits dirigeants indiens refusent toute entente.

[00:20:27:10]	  Si les musulmans n'arrivent pas à  obtenir leur Pakistan,

[00:20:30:05]	  ma province sombrera dans la guerre civile à  coup sû r.

[00:20:33:24]	  - Pareil pour le Pendjab.

[00:20:37:04]	  Les hindous n'accepteront jamais un Pakistan

[00:20:38:18]	  qu'ils n'ont pas désiré.

[00:20:40:16]	  - Quel sac de noeuds!

[00:20:41:25]	  Messieurs, notre sauveur est là .

[00:20:43:05]	  Il est enfin parmi nous.

[00:20:45:16]	  

[00:20:46:20]	  - CÇ a reste entre nous, Pug, mais nous ne sommes pas sû rs

[00:20:48:20]	  que Dickie Mountbatten puisse nous tirer de ce bourbier.

[00:20:50:25]	  - Vous exagérez. Il possè de cette faculté

[00:20:52:20]	  de s'entendre avec tout le monde.

[00:20:54:29]	  - D'accord.

[00:20:57:09]	  Mais ces Indiens sont encore plus glissants

[00:20:58:24]	  que des anguilles.

[00:21:00:28]	  - Les Indiens doivent avoir la conviction,

[00:21:02:11]	  quel que soit l'avenir de l'Inde,

[00:21:05:10]	  que c'est leur idée.

[00:21:08:03]	  Et croyez-moi,

[00:21:10:08]	  si quelqu'un peut les mettre d'accord,

[00:21:12:10]	  c'est Dickie.

[00:21:14:16]	  Il pourrait mê me convaincre un vautour

[00:21:16:20]	  de lâ cher sa proie.

[00:21:19:00]	  - Plus rien ne peut empê cher la violence, Pug.

[00:21:21:00]	  Il est déjà  beaucoup trop tard.

[00:21:24:03]	  Et si Mountbatten croit y arriver par le charme,

[00:21:26:05]	  c'est un idiot.

[00:21:28:28]	  - Merci de votre franchise.

[00:21:30:11]	  - Votre excellence!

[00:21:32:11]	  - Je sais à  quel point la situation est grave.

[00:21:34:00]	  Je vais réunir les dirigeants et les maharadjahs

[00:21:35:25]	  qui appréhendent également ce qui arrivera

[00:21:38:00]	  aprè s la passation de pouvoir.

[00:21:39:28]	  Nous allons avoir beaucoup de travail.

[00:21:41:16]	  Et je souhaite vous entendre tous.

[00:21:43:14]	  (vrombissement de moteur)

[00:21:45:12]	  

[00:21:46:19]	  (musique patriotique)

[00:21:48:12]	  

[00:21:50:03]	

[00:21:50:10]	 -  Le conflit qui s'aggrave   chaque semaine

[00:21:52:05]	  

[00:21:54:10]	    entre les musulmans   et les hindous

